V160001,clinton,trump,pid7,pid3,ideo7,education,income,feeldem,feelrep
302425,70,15,,(3) 3. Independent,,10,7,40,40
302428,20,100,4,(3) 3. Independent,4,9,1,50,80
302430,30,50,3,(3) 3. Independent,3,9,27,60,15
302434,60,15,3,(3) 3. Independent,3,13,9,60,40
302435,100,0,1,(1) 1. Democrat,2,13,20,85,40
302443,0,85,6,(2) 2. Republican,5,13,14,15,40
302445,0,70,7,(2) 2. Republican,6,13,28,0,70
302446,70,70,4,(3) 3. Independent,4,8,2,,
302447,70,0,1,(1) 1. Democrat,3,15,24,60,30
302449,40,70,4,(3) 3. Independent,4,9,19,50,50
302450,0,85,7,(2) 2. Republican,6,12,20,0,100
302452,85,50,5,(3) 3. Independent,5,11,17,60,0
302456,85,0,1,(1) 1. Democrat,3,16,23,60,15
302459,85,70,1,(1) 1. Democrat,4,10,1,100,50
302461,40,100,2,(1) 1. Democrat,NA,9,11,40,60
302462,0,100,7,(2) 2. Republican,,11,,0,100
302463,0,70,5,(3) 3. Independent,4,9,16,20,70
302465,15,15,2,(1) 1. Democrat,4,10,24,60,40
302467,100,0,1,(1) 1. Democrat,NA,9,12,85,30
302469,0,70,7,(2) 2. Republican,,13,26,0,70
302470,70,70,5,(3) 3. Independent,5,13,1,40,40
302471,0,0,6,(2) 2. Republican,NA,12,15,50,50
302476,50,30,5,(3) 3. Independent,NA,10,13,70,70
302477,0,60,7,(2) 2. Republican,6,6,3,0,60
302480,15,85,7,(2) 2. Republican,6,10,,30,85
302489,85,0,1,(1) 1. Democrat,2,13,11,85,40
302491,0,100,4,(3) 3. Independent,4,9,17,0,100
302492,70,0,2,(1) 1. Democrat,3,10,13,70,60
302493,20,80,3,(3) 3. Independent,NA,9,13,10,70
302494,50,30,3,(3) 3. Independent,NA,9,9,50,50
302496,85,0,2,(1) 1. Democrat,2,9,12,85,15
302498,60,0,2,(1) 1. Democrat,3,10,1,85,15
302501,0,60,4,(0) 0. No preference (FTF ONLY),NA,10,18,50,50
302506,30,40,6,(2) 2. Republican,5,14,22,50,50
302509,30,0,3,(3) 3. Independent,1,13,23,30,0
302513,50,85,5,(3) 3. Independent,4,13,28,40,60
302516,52,52,1,(1) 1. Democrat,5,9,1,52,0
302522,40,0,3,(5) 5. Other party SPECIFY,1,14,23,60,0
302526,60,100,5,(3) 3. Independent,4,10,9,,
302527,0,85,7,(2) 2. Republican,6,14,24,0,70
302529,70,0,3,(3) 3. Independent,4,12,1,70,70
302531,0,60,7,(2) 2. Republican,7,15,19,15,70
302532,30,15,6,(2) 2. Republican,5,13,13,30,40
302535,5,30,5,(3) 3. Independent,4,13,18,25,40
302539,40,70,6,(2) 2. Republican,4,9,17,70,85
302540,85,0,1,(1) 1. Democrat,2,14,14,85,15
302542,15,60,6,(2) 2. Republican,5,10,25,40,70
302543,50,40,4,(3) 3. Independent,4,8,21,50,40
302545,70,15,1,(1) 1. Democrat,6,3,5,85,30
302557,85,15,3,(3) 3. Independent,4,13,25,60,30
302558,15,0,3,(0) 0. No preference (FTF ONLY),4,14,1,50,50
302559,85,0,1,(1) 1. Democrat,4,11,21,85,40
302562,60,15,3,(3) 3. Independent,4,13,17,60,50
302564,70,0,3,(3) 3. Independent,1,12,9,50,85
302566,70,0,7,(2) 2. Republican,4,17,6,60,30
302568,70,40,2,(1) 1. Democrat,,2,4,85,70
302569,70,0,3,(3) 3. Independent,1,14,23,85,0
